Name,Age,City,Dept,Salary,Exp
Ali,25.0,Tehran,IT,4200.0,2.0
Sara,31.0,Shiraz,HR,5100.0,5.0
Reza,42.0,Tabriz,IT,6800.0,12.0
Maryam,28.0,Tehran,Finance,4700.0,4.0
Arash,35.0,Isfahan,Sales,5900.0,8.0
Nazanin,24.0,Shiraz,HR,3900.0,1.0
Saeed,39.0,Tehran,IT,7200.0,14.0
Fatemeh,27.0,Mashhad,Finance,4500.0,3.0
Amir,51.0,Tabriz,Management,9500.0,22.0
Neda,33.0,Tehran,Sales,6100.0,7.0
Pouya,29.0,Isfahan,IT,5300.0,5.0
Mina,45.0,Shiraz,Finance,6400.0,16.0
Hamed,22.0,Mashhad,Sales,3600.0,1.0
Leila,37.0,Tehran,HR,5700.0,10.0
Omid,41.0,Tabriz,IT,6900.0,13.0
Shiva,30.0,Isfahan,Finance,5000.0,6.0
Mehdi,26.0,Shiraz,Sales,4100.0,2.0
Parisa,34.0,Tehran,Management,7800.0,9.0
Kian,48.0,Mashhad,IT,8300.0,19.0
Yasmin,23.0,Tabriz,HR,3700.0,1.0
Farhad,36.0,Tehran,Finance,5600.0,11.0
Elham,32.0,Shiraz,Sales,5200.0,7.0
Navid,44.0,Isfahan,IT,7600.0,15.0
Sahar,29.0,Mashhad,HR,4300.0,4.0
Babak,38.0,Tehran,Sales,6500.0,10.0
Roya,27.0,Tabriz,Finance,4600.0,3.0
Kasra,52.0,Shiraz,Management,10200.0,25.0
Atefeh,31.0,Isfahan,HR,4800.0,6.0
Milad,40.0,Mashhad,IT,7100.0,14.0
Zahra,25.0,Tehran,Sales,4000.0,2.0
Yousef,46.0,Tabriz,Finance,6900.0,18.0
Hanieh,35.0,Shiraz,IT,6200.0,9.0
Sina,28.0,Isfahan,Sales,4900.0,4.0
Mahsa,43.0,Mashhad,HR,5800.0,12.0
Ali,25.0,Tehran,IT,4200.0,2.0
Sam,132.0,Shiraz,IT,7000.0,10.0
Mojtaba,-4.0,Tabriz,Finance,5000.0,5.0
Ladan,39.0,Tehran,HR,,11.0
Ramin,34.0,Isfahan,Sales,6200.0,
Shirin,,Mashhad,Finance,4800.0,6.0
Behzad,29.0,Tehran,,5500.0,5.0
Aida,33.0,,IT,6000.0,8.0
Ramin,34.0,Isfahan,Sales,6200.0,
Kourosh,76.0,Tabriz,Management,8800.0,30.0
Darya,19.0,Shiraz,HR,3500.0,0.0
Ehsan,58.0,Tehran,Finance,7400.0,31.0
Negar,26.0,Mashhad,Sales,,3.0
Vahid,47.0,Isfahan,IT,7900.0,20.0
Sepideh,30.0,Tabriz,HR,4600.0,5.0
Pouya,29.0,Isfahan,IT,5300.0,5.0
